OpportunityType,State,Industry,OfftakerSector,Fund,IRR,EPC,Size
M&A,CA,Education,MUSH/Non-Profit,Obsidian II,0.195,3.5,570.54
M&A,CA,Education,MUSH/Non-Profit,Obsidian II,0.199,3.38,941.4
Onyx as Original Owner,CA,Education,MUSH/Non-Profit,Other - See Finance,0.193,3.29,0.0
Onyx as Original Owner,CT,Agriculture,MUSH/Non-Profit,Phoenix I,0.167,1.95,1554.63
Onyx as Original Owner,CA,Education,MUSH/Non-Profit,Other - See Finance,0.198,2.77,0.0
Onyx as Original Owner,CA,Education,MUSH/Non-Profit,Other - See Finance,0.189,3.66,0.0
Onyx as Original Owner,CA,Education,MUSH/Non-Profit,Other - See Finance,0.201,2.45,0.0
Onyx as Original Owner,CA,Education,MUSH/Non-Profit,Other - See Finance,0.203,2.28,0.0
Onyx as Original Owner,HI,Recreation,Real Estate,Sunbird I,0.141,4.91,1890.0
Onyx as Original Owner,CA,Government,Real Estate,EPC Only,0.202,2.63,402.0
Non-RFP,AZ,Recreation,Military,Obsidian I,0.146,3.19,269.73
M&A,AZ,Recreation,Military,Obsidian II,0.152,2.44,140.4
M&A,AZ,Recreation,Military,Obsidian II,0.154,2.32,142.2
M&A,AZ,Recreation,Military,Obsidian II,0.154,2.29,175.5
M&A,AZ,Recreation,Military,Obsidian II,0.152,2.46,112.32
M&A,AZ,Recreation,Military,Obsidian II,0.154,2.27,175.5
M&A,AZ,Construction,Military,Obsidian II,0.155,2.2,203.58
M&A,AZ,Construction,Military,Obsidian II,0.156,2.09,206.19
M&A,AZ,Recreation,Military,Obsidian II,0.154,2.24,139.04
M&A,AZ,Recreation,Military,Obsidian II,0.152,2.88,666.895
M&A,AZ,Recreation,Military,Obsidian II,0.153,2.88,771.42
M&A,AZ,Recreation,Military,Obsidian I,0.152,2.56,241.63
M&A,AZ,Construction,Military,Obsidian I,0.157,2.33,601.62
Onyx as Original Owner,NJ,Technology,Military,Obsidian I,0.206,2.44,718.11
M&A,AZ,Recreation,Military,Obsidian I,0.152,2.62,387.1
M&A,AZ,Recreation,Military,Obsidian I,0.151,2.61,157.605
Onyx as Original Owner,MD,Construction,Military,Obsidian I,0.157,2.36,730.345
M&A,AZ,Recreation,Military,Obsidian I,0.151,2.6,217.19
M&A,AZ,Recreation,Military,Obsidian I,0.15,2.65,163.53
Non-RFP,AZ,Recreation,Military,Obsidian I,0.15,2.66,159.975
Onyx as Original Owner,MD,Construction,Military,Obsidian I,0.156,2.36,604.89
M&A,AZ,Construction,Military,Obsidian I,0.155,2.25,223.38
M&A,AZ,Recreation,Military,Obsidian I,0.153,2.32,137.64
Non-RFP,RI,Agriculture,Military,Obsidian I,0.161,2.14,999.74
Non-RFP,NJ,Government,Industrial/Manufacturing,Obsidian I,0.204,2.45,370.17
Onyx as Original Owner,MD,Construction,Military,Sunbird I,0.158,2.36,794.97
Non-RFP,AZ,Recreation,Military,Obsidian I,0.15,2.67,109.02
Non-RFP,AZ,Recreation,Military,Obsidian I,0.149,2.77,142.2
Non-RFP,MD,Agriculture,Military,Obsidian I,0.16,2.36,1126.62
Non-RFP,MD,Construction,Military,Obsidian I,0.157,2.36,623.7
Onyx as Original Owner,MD,Construction,Military,Obsidian I,0.159,2.36,980.1
Onyx as Original Owner,MD,Construction,Military,Obsidian I,0.157,2.36,655.38
Non-RFP,MD,Construction,Military,Obsidian I,0.156,2.36,502.92
Non-RFP,RI,Recreation,Military,Obsidian I,0.149,2.79,106.145
Non-RFP,AZ,Construction,Military,Obsidian I,0.158,1.91,163.54
Non-RFP,AZ,Recreation,Military,Obsidian I,0.152,2.55,177.6
Non-RFP,AZ,Recreation,Military,Obsidian I,0.153,2.57,361.8
Non-RFP,AZ,Recreation,Military,Obsidian I,0.153,2.57,348.4
Non-RFP,AZ,Recreation,Military,Obsidian I,0.152,2.58,352.42
Non-RFP,AZ,Recreation,Military,Obsidian I,0.153,2.56,340.36
Non-RFP,AZ,Recreation,Military,Obsidian I,0.152,3.02,933.565
Non-RFP,AZ,Recreation,Military,Obsidian I,0.138,3.85,79.92
Non-RFP,AZ,Construction,Military,Obsidian I,0.155,2.75,956.82
Non-RFP,AZ,Agriculture,Military,Obsidian I,0.16,2.5,1294.5
M&A,AZ,Recreation,Military,Obsidian I,0.148,2.87,132.6
M&A,AZ,Recreation,Military,Obsidian II,0.151,2.59,227.52
M&A,AZ,Recreation,Military,Obsidian II,0.152,2.61,255.91
Onyx as Original Owner,KS,Agriculture,Military,Nova I,0.171,2.48,2864.16
M&A,AZ,Recreation,Military,Obsidian II,0.153,2.42,149.76
M&A,AZ,Recreation,Military,Obsidian I,0.126,5.31,391.05
M&A,AZ,Recreation,Military,Obsidian II,0.154,2.33,224.64
M&A,AZ,Recreation,Military,Obsidian I,0.119,5.77,40.95
Onyx as Original Owner,KS,Agriculture,Military,Obsidian I,0.16,2.82,1779.0
